Entry	Nuc_Genomic_EMBL_ID_1	Nuc_Genomic_EMBL_Link_1	Nuc_Genomic_EMBL_ID_2	Nuc_Genomic_EMBL_Link_2	Nuc_Genomic_EMBL_ID_3	Nuc_Genomic_EMBL_Link_3	Nuc_Genomic_EMBL_ID_4	Nuc_Genomic_EMBL_Link_4	Nuc_Genomic_EMBL_ID_5	Nuc_Genomic_EMBL_Link_5	Nuc_Genomic_EMBL_ID_6	Nuc_Genomic_EMBL_Link_6	Nuc_Genomic_EMBL_ID_7	Nuc_Genomic_EMBL_Link_7	Nuc_Genomic_EMBL_ID_8	Nuc_Genomic_EMBL_Link_8	Nuc_Genomic_EMBL_ID_9	Nuc_Genomic_EMBL_Link_9	Nuc_Genomic_EMBL_ID_10	Nuc_Genomic_EMBL_Link_10	Nuc_Genomic_EMBL_ID_11	Nuc_Genomic_EMBL_Link_11	Nuc_Genomic_EMBL_ID_12	Nuc_Genomic_EMBL_Link_12	Nuc_Genomic_EMBL_ID_13	Nuc_Genomic_EMBL_Link_13	Nuc_Genomic_EMBL_ID_14	Nuc_Genomic_EMBL_Link_14	Nuc_mRNA_EMBL_ID_1	Nuc_mRNA_EMBL_Link_1	Nuc_mRNA_EMBL_ID_2	Nuc_mRNA_EMBL_Link_2	Nuc_mRNA_EMBL_ID_3	Nuc_mRNA_EMBL_Link_3	Nuc_mRNA_EMBL_ID_4	Nuc_mRNA_EMBL_Link_4	Nuc_mRNA_EMBL_ID_5	Nuc_mRNA_EMBL_Link_5	Nuc_mRNA_EMBL_ID_6	Nuc_mRNA_EMBL_Link_6	Nuc_mRNA_EMBL_ID_7	Nuc_mRNA_EMBL_Link_7	Nuc_mRNA_EMBL_ID_8	Nuc_mRNA_EMBL_Link_8	Nuc_mRNA_EMBL_ID_9	Nuc_mRNA_EMBL_Link_9	Nuc_mRNA_EMBL_ID_10	Nuc_mRNA_EMBL_Link_10	Nuc_mRNA_EMBL_ID_11	Nuc_mRNA_EMBL_Link_11	Nuc_mRNA_EMBL_ID_12	Nuc_mRNA_EMBL_Link_12	Nuc_mRNA_EMBL_ID_13	Nuc_mRNA_EMBL_Link_13	Nuc_mRNA_EMBL_ID_14	Nuc_mRNA_EMBL_Link_14	Nuc_mRNA_EMBL_ID_15	Nuc_mRNA_EMBL_Link_15	Prot_EMBL_ORF_ID_1	Prot_EMBL_ORF_Link_1	Prot_EMBL_ORF_ID_2	Prot_EMBL_ORF_Link_2	Prot_EMBL_ORF_ID_3	Prot_EMBL_ORF_Link_3	Prot_EMBL_ORF_ID_4	Prot_EMBL_ORF_Link_4	Prot_EMBL_ORF_ID_5	Prot_EMBL_ORF_Link_5	Prot_EMBL_ORF_ID_6	Prot_EMBL_ORF_Link_6	Prot_EMBL_ORF_ID_7	Prot_EMBL_ORF_Link_7	Prot_EMBL_ORF_ID_8	Prot_EMBL_ORF_Link_8	Prot_EMBL_ORF_ID_9	Prot_EMBL_ORF_Link_9	Prot_EMBL_ORF_ID_10	Prot_EMBL_ORF_Link_10	Prot_EMBL_ORF_ID_11	Prot_EMBL_ORF_Link_11	Prot_EMBL_ORF_ID_12	Prot_EMBL_ORF_Link_12	Prot_EMBL_ORF_ID_13	Prot_EMBL_ORF_Link_13	Prot_EMBL_ORF_ID_14	Prot_EMBL_ORF_Link_14	Prot_EMBL_ORF_ID_15	Prot_EMBL_ORF_Link_15	Prot_EMBL_ORF_ID_16	Prot_EMBL_ORF_Link_16	Prot_EMBL_ORF_ID_17	Prot_EMBL_ORF_Link_17	Prot_EMBL_ORF_ID_18	Prot_EMBL_ORF_Link_18	Prot_EMBL_ORF_ID_19	Prot_EMBL_ORF_Link_19	Prot_EMBL_ORF_ID_20	Prot_EMBL_ORF_Link_20	Prot_EMBL_ORF_ID_21	Prot_EMBL_ORF_Link_21	Prot_EMBL_ORF_ID_22	Prot_EMBL_ORF_Link_22	Prot_EMBL_ORF_ID_23	Prot_EMBL_ORF_Link_23	Prot_EMBL_ORF_ID_24	Prot_EMBL_ORF_Link_24	Prot_EMBL_ORF_ID_25	Prot_EMBL_ORF_Link_25	Prot_EMBL_ORF_ID_26	Prot_EMBL_ORF_Link_26	Prot_RefSeq_ID_1	Prot_RefSeq_NucID_1	Prot_RefSeq_ProteinLink_1	Prot_RefSeq_NucLink_1	Prot_RefSeq_ID_2	Prot_RefSeq_NucID_2	Prot_RefSeq_ProteinLink_2	Prot_RefSeq_NucLink_2	Prot_RefSeq_ID_3	Prot_RefSeq_NucID_3	Prot_RefSeq_ProteinLink_3	Prot_RefSeq_NucLink_3	Prot_RefSeq_ID_4	Prot_RefSeq_NucID_4	Prot_RefSeq_ProteinLink_4	Prot_RefSeq_NucLink_4	Prot_RefSeq_ID_5	Prot_RefSeq_NucID_5	Prot_RefSeq_ProteinLink_5	Prot_RefSeq_NucLink_5	Prot_RefSeq_ID_6	Prot_RefSeq_NucID_6	Prot_RefSeq_ProteinLink_6	Prot_RefSeq_NucLink_6	Prot_RefSeq_ID_7	Prot_RefSeq_NucID_7	Prot_RefSeq_ProteinLink_7	Prot_RefSeq_NucLink_7	Prot_RefSeq_ID_8	Prot_RefSeq_NucID_8	Prot_RefSeq_ProteinLink_8	Prot_RefSeq_NucLink_8	Prot_RefSeq_ID_9	Prot_RefSeq_NucID_9	Prot_RefSeq_ProteinLink_9	Prot_RefSeq_NucLink_9	Prot_RefSeq_ID_10	Prot_RefSeq_NucID_10	Prot_RefSeq_ProteinLink_10	Prot_RefSeq_NucLink_10	Prot_RefSeq_ID_11	Prot_RefSeq_NucID_11	Prot_RefSeq_ProteinLink_11	Prot_RefSeq_NucLink_11
A0A1V0QSG6	JAATIP010000214	https://www.ebi.ac.uk/ena/browser/view/JAATIP010000214																											KY014564	https://www.ebi.ac.uk/ena/browser/view/KY014564																													ARE72260.2	https://www.ebi.ac.uk/ena/browser/view/ARE72260.2	KAF4359545.1	https://www.ebi.ac.uk/ena/browser/view/KAF4359545.1	KAF4359546.1	https://www.ebi.ac.uk/ena/browser/view/KAF4359546.1																																																																																										
A0A1V0QSH2																													KY014565	https://www.ebi.ac.uk/ena/browser/view/KY014565																													ARE72261.1	https://www.ebi.ac.uk/ena/browser/view/ARE72261.1																																																																																														
A0A1W6QDI7																													KU180504	https://www.ebi.ac.uk/ena/browser/view/KU180504	KX831652	https://www.ebi.ac.uk/ena/browser/view/KX831652																											APJ36376.1	https://www.ebi.ac.uk/ena/browser/view/APJ36376.1	ARO38142.1	https://www.ebi.ac.uk/ena/browser/view/ARO38142.1																																																																																												
A0A2K9RFZ2																													MG696749	https://www.ebi.ac.uk/ena/browser/view/MG696749																													AUT77121.1	https://www.ebi.ac.uk/ena/browser/view/AUT77121.1																																																																																														
A0A2P2GK84	LAQS01000032	https://www.ebi.ac.uk/ena/browser/view/LAQS01000032																																																									KKZ71921.1	https://www.ebi.ac.uk/ena/browser/view/KKZ71921.1	WP_046909438.1	https://www.ncbi.nlm.nih.gov/protein/WP_046909438.1																																																	WP_046909438.1	NZ_BAAAXG010000012.1	https://www.ncbi.nlm.nih.gov/protein/WP_046909438.1	https://www.ncbi.nlm.nih.gov/nucleotide/NZ_BAAAXG010000012.1																																								
A0A2R4QKX7																													MF104556	https://www.ebi.ac.uk/ena/browser/view/MF104556																													AVY53326.1	https://www.ebi.ac.uk/ena/browser/view/AVY53326.1																																																																																														
A0A348FUE1	LC316181	https://www.ebi.ac.uk/ena/browser/view/LC316181																																																									BBF88128.1	https://www.ebi.ac.uk/ena/browser/view/BBF88128.1																																																																																														
A0A386KZ50	MH202990	https://www.ebi.ac.uk/ena/browser/view/MH202990																																																									AYD91073.1	https://www.ebi.ac.uk/ena/browser/view/AYD91073.1																																																																																														
A0A3S5XFG0	LC422695	https://www.ebi.ac.uk/ena/browser/view/LC422695																																																									BBG28476.1	https://www.ebi.ac.uk/ena/browser/view/BBG28476.1																																																																																														
A0A455R4Z0	LC406757	https://www.ebi.ac.uk/ena/browser/view/LC406757																																																									BBF25321.1	https://www.ebi.ac.uk/ena/browser/view/BBF25321.1																																																																																														
A0A5S9I252	LC484924	https://www.ebi.ac.uk/ena/browser/view/LC484924																																																									BBK61014.1	https://www.ebi.ac.uk/ena/browser/view/BBK61014.1																																																																																														
A0A6P6W6H5																													HE985292	https://www.ebi.ac.uk/ena/browser/view/HE985292																													CCM43927.1	https://www.ebi.ac.uk/ena/browser/view/CCM43927.1																																																																																														
A0A858E6N7																													MK946440	https://www.ebi.ac.uk/ena/browser/view/MK946440																													QIG55792.1	https://www.ebi.ac.uk/ena/browser/view/QIG55792.1																																																																																														
A0A858E7G0	GL883097	https://www.ebi.ac.uk/ena/browser/view/GL883097																											MK946437	https://www.ebi.ac.uk/ena/browser/view/MK946437																													EGG09623.1	https://www.ebi.ac.uk/ena/browser/view/EGG09623.1	QIG55789.1	https://www.ebi.ac.uk/ena/browser/view/QIG55789.1	XP_007407350.1	https://www.ncbi.nlm.nih.gov/protein/XP_007407350.1																																															XP_007407350.1	XM_007407288.1	https://www.ncbi.nlm.nih.gov/protein/XP_007407350.1	https://www.ncbi.nlm.nih.gov/nucleotide/XM_007407288.1																																								
A0A8D5M3Y5	LC600199	https://www.ebi.ac.uk/ena/browser/view/LC600199																																																									BCP96882.1	https://www.ebi.ac.uk/ena/browser/view/BCP96882.1																																																																																														
A0A8H7XP09	JAFIQS020000009	https://www.ebi.ac.uk/ena/browser/view/JAFIQS020000009																																																									KAH9477939.1	https://www.ebi.ac.uk/ena/browser/view/KAH9477939.1	XP_047745564.1	https://www.ncbi.nlm.nih.gov/protein/XP_047745564.1																																																	XP_047745564.1	XM_047895845.1	https://www.ncbi.nlm.nih.gov/protein/XP_047745564.1	https://www.ncbi.nlm.nih.gov/nucleotide/XM_047895845.1																																								
A0A8H8CMW1	JAFIQS020000005	https://www.ebi.ac.uk/ena/browser/view/JAFIQS020000005																																																									KAH9481651.1	https://www.ebi.ac.uk/ena/browser/view/KAH9481651.1	XP_047749276.1	https://www.ncbi.nlm.nih.gov/protein/XP_047749276.1																																																	XP_047749276.1	XM_047891927.1	https://www.ncbi.nlm.nih.gov/protein/XP_047749276.1	https://www.ncbi.nlm.nih.gov/nucleotide/XM_047891927.1																																								
A1C8C3	DS027045	https://www.ebi.ac.uk/ena/browser/view/DS027045																																																									EAW14644.1	https://www.ebi.ac.uk/ena/browser/view/EAW14644.1	XP_001276070.1	https://www.ncbi.nlm.nih.gov/protein/XP_001276070.1																																																	XP_001276070.1	XM_001276069.1	https://www.ncbi.nlm.nih.gov/protein/XP_001276070.1	https://www.ncbi.nlm.nih.gov/nucleotide/XM_001276069.1																																								
A1DN30	DS027698	https://www.ebi.ac.uk/ena/browser/view/DS027698																																																									EAW16201.1	https://www.ebi.ac.uk/ena/browser/view/EAW16201.1	XP_001258098.1	https://www.ncbi.nlm.nih.gov/protein/XP_001258098.1																																																	XP_001258098.1	XM_001258097.1	https://www.ncbi.nlm.nih.gov/protein/XP_001258098.1	https://www.ncbi.nlm.nih.gov/nucleotide/XM_001258097.1																																								
A2PZA5	AB272062	https://www.ebi.ac.uk/ena/browser/view/AB272062																											AB267396	https://www.ebi.ac.uk/ena/browser/view/AB267396																													BAF45924.1	https://www.ebi.ac.uk/ena/browser/view/BAF45924.1	BAF45925.1	https://www.ebi.ac.uk/ena/browser/view/BAF45925.1																																																																																												
A4FVP2	Z97341	https://www.ebi.ac.uk/ena/browser/view/Z97341	AL161544	https://www.ebi.ac.uk/ena/browser/view/AL161544	CP002687	https://www.ebi.ac.uk/ena/browser/view/CP002687																							AK118969	https://www.ebi.ac.uk/ena/browser/view/AK118969	BT030340	https://www.ebi.ac.uk/ena/browser/view/BT030340	AY085646	https://www.ebi.ac.uk/ena/browser/view/AY085646	AY151086	https://www.ebi.ac.uk/ena/browser/view/AY151086	AF180366	https://www.ebi.ac.uk/ena/browser/view/AF180366																					CAB10449.1	https://www.ebi.ac.uk/ena/browser/view/CAB10449.1	CAB78716.1	https://www.ebi.ac.uk/ena/browser/view/CAB78716.1	AEE83793.1	https://www.ebi.ac.uk/ena/browser/view/AEE83793.1	AEE83794.1	https://www.ebi.ac.uk/ena/browser/view/AEE83794.1	BAC43546.1	https://www.ebi.ac.uk/ena/browser/view/BAC43546.1	ABO38753.1	https://www.ebi.ac.uk/ena/browser/view/ABO38753.1	AAM62867.1	https://www.ebi.ac.uk/ena/browser/view/AAM62867.1	AAN65379.1	https://www.ebi.ac.uk/ena/browser/view/AAN65379.1	AAG09423.1	https://www.ebi.ac.uk/ena/browser/view/AAG09423.1	NP_001031651.1	https://www.ncbi.nlm.nih.gov/protein/NP_001031651.1	NP_567511.3	https://www.ncbi.nlm.nih.gov/protein/NP_567511.3																															NP_001031651.1	NM_001036574.1	https://www.ncbi.nlm.nih.gov/protein/NP_001031651.1	https://www.ncbi.nlm.nih.gov/nucleotide/NM_001036574.1	NP_567511.3	NM_117775.4	https://www.ncbi.nlm.nih.gov/protein/NP_567511.3	https://www.ncbi.nlm.nih.gov/nucleotide/NM_117775.4																																				
A5A8G0	ABEU02000007	https://www.ebi.ac.uk/ena/browser/view/ABEU02000007																											AB302933	https://www.ebi.ac.uk/ena/browser/view/AB302933																													BAF61135.1	https://www.ebi.ac.uk/ena/browser/view/BAF61135.1	PNR50587.1	https://www.ebi.ac.uk/ena/browser/view/PNR50587.1																																																																																												
A5PHD6	JQ012797	https://www.ebi.ac.uk/ena/browser/view/JQ012797	AM745350	https://www.ebi.ac.uk/ena/browser/view/AM745350	MG736817	https://www.ebi.ac.uk/ena/browser/view/MG736817																																																					AFD18255.1	https://www.ebi.ac.uk/ena/browser/view/AFD18255.1	CAN87161.2	https://www.ebi.ac.uk/ena/browser/view/CAN87161.2	AWM95789.1	https://www.ebi.ac.uk/ena/browser/view/AWM95789.1																																																																																										
A5Y5L5																													EF175166	https://www.ebi.ac.uk/ena/browser/view/EF175166																													ABP88782.1	https://www.ebi.ac.uk/ena/browser/view/ABP88782.1																																																																																														
A6XH05																													DQ785793	https://www.ebi.ac.uk/ena/browser/view/DQ785793																													ABH07677.1	https://www.ebi.ac.uk/ena/browser/view/ABH07677.1																																																																																														
A6XH06																													DQ785794	https://www.ebi.ac.uk/ena/browser/view/DQ785794																													ABH07678.1	https://www.ebi.ac.uk/ena/browser/view/ABH07678.1																																																																																														
A7IZZ1	JAATIP010000065	https://www.ebi.ac.uk/ena/browser/view/JAATIP010000065	UZAU01000409	https://www.ebi.ac.uk/ena/browser/view/UZAU01000409																									DQ839404	https://www.ebi.ac.uk/ena/browser/view/DQ839404	MK801766	https://www.ebi.ac.uk/ena/browser/view/MK801766																											ABI21837.1	https://www.ebi.ac.uk/ena/browser/view/ABI21837.1	QCY41294.1	https://www.ebi.ac.uk/ena/browser/view/QCY41294.1	KAF4380280.1	https://www.ebi.ac.uk/ena/browser/view/KAF4380280.1																																																																																										
A7IZZ2																													DQ839405	https://www.ebi.ac.uk/ena/browser/view/DQ839405																													ABI21838.1	https://www.ebi.ac.uk/ena/browser/view/ABI21838.1																																																																																														
B1W019	AP009493	https://www.ebi.ac.uk/ena/browser/view/AP009493																																																									BAG18908.1	https://www.ebi.ac.uk/ena/browser/view/BAG18908.1																																																																																														
B2C4D0	EU259634	https://www.ebi.ac.uk/ena/browser/view/EU259634	CM000786	https://www.ebi.ac.uk/ena/browser/view/CM000786																									EU259633	https://www.ebi.ac.uk/ena/browser/view/EU259633	EU259635	https://www.ebi.ac.uk/ena/browser/view/EU259635																											ABY79206.1	https://www.ebi.ac.uk/ena/browser/view/ABY79206.1	ABY79207.1	https://www.ebi.ac.uk/ena/browser/view/ABY79207.1	ABY79208.1	https://www.ebi.ac.uk/ena/browser/view/ABY79208.1	AQK40889.1	https://www.ebi.ac.uk/ena/browser/view/AQK40889.1																																																																																								
B5HDJ6	CM000950	https://www.ebi.ac.uk/ena/browser/view/CM000950																																																									EDY64907.2	https://www.ebi.ac.uk/ena/browser/view/EDY64907.2	WP_005317515.1	https://www.ncbi.nlm.nih.gov/protein/WP_005317515.1																																																	WP_005317515.1	NZ_CM000950.1	https://www.ncbi.nlm.nih.gov/protein/WP_005317515.1	https://www.ncbi.nlm.nih.gov/nucleotide/NZ_CM000950.1																																								
